log_id,table_name,operation,record_id,changed_by,change_timestamp,old_values,new_values
1,accounts,UPDATE,1,5,2026-07-20 10:30:00,"{""current_balance"": 282000.50}","{""current_balance"": 285000.50}"
2,accounts,UPDATE,2,6,2026-07-18 14:45:00,"{""current_balance"": 145000.75}","{""current_balance"": 142500.75}"
3,transactions,INSERT,200,7,2026-07-20 16:15:00,,"{""transaction_id"": 200, ""amount"": 2800.00}"
4,loans,UPDATE,1,5,2026-07-05 09:00:00,"{""outstanding_balance"": 3861902.00}","{""outstanding_balance"": 3850000.00}"
5,customers,UPDATE,50,8,2026-07-15 11:30:00,"{""phone"": ""9812345049""}","{""phone"": ""9812345050""}"
6,accounts,INSERT,141,9,2026-07-10 10:00:00,,"{""account_id"": 141, ""customer_id"": 101}"
7,fixed_deposits,UPDATE,25,10,2026-07-12 14:20:00,"{""status"": ""Active""}","{""status"": ""Active""}"
8,credit_cards,UPDATE,15,11,2026-07-08 16:45:00,"{""available_limit"": 68000.00}","{""available_limit"": 65000.00}"
9,loan_payments,INSERT,100,12,2026-07-05 15:30:00,,"{""payment_id"": 100, ""loan_id"": 80}"
10,employees,UPDATE,25,3,2026-07-01 09:15:00,"{""salary"": 1650000.00}","{""salary"": 1680000.00}"
11,accounts,UPDATE,45,13,2026-07-19 11:00:00,"{""current_balance"": 260000.00}","{""current_balance"": 235000.00}"
12,transactions,INSERT,185,14,2026-07-19 12:30:00,,"{""transaction_id"": 185, ""amount"": 95000.00}"
13,customers,INSERT,151,15,2026-07-05 10:30:00,,"{""customer_id"": 151, ""first_name"": ""Test""}"
14,loans,INSERT,101,16,2026-07-08 14:00:00,,"{""loan_id"": 101, ""principal_amount"": 500000.00}"
15,lockers,UPDATE,10,17,2026-07-10 15:45:00,"{""status"": ""Available""}","{""status"": ""Allotted""}"
16,card_transactions,INSERT,100,18,2026-07-12 19:00:00,,"{""card_txn_id"": 100, ""amount"": 4800.00}"
17,accounts,UPDATE,89,19,2026-07-14 10:20:00,"{""current_balance"": 288500.00}","{""current_balance"": 285500.00}"
18,fixed_deposits,INSERT,101,20,2026-07-15 11:30:00,,"{""fd_id"": 101, ""principal_amount"": 200000.00}"
19,customers,UPDATE,100,21,2026-07-16 14:45:00,"{""email"": ""kiara.phadke@email.com""}","{""email"": ""kiara.p@email.com""}"
20,loans,UPDATE,50,22,2026-07-05 09:30:00,"{""outstanding_balance"": 5283500.00}","{""outstanding_balance"": 5270000.00}"
21,transactions,INSERT,150,23,2026-07-15 16:15:00,,"{""transaction_id"": 150, ""amount"": 175000.00}"
22,accounts,UPDATE,131,24,2026-07-15 09:45:00,"{""current_balance"": 185000.00}","{""current_balance"": 370000.00}"
23,credit_cards,UPDATE,5,25,2026-07-20 17:00:00,"{""available_limit"": 1535000.00}","{""available_limit"": 1350000.00}"
24,customer_insurance,INSERT,101,26,2026-07-18 10:30:00,,"{""policy_id"": 101, ""premium_amount"": 15000.00}"
25,employees,INSERT,151,3,2026-07-01 09:00:00,,"{""employee_id"": 151, ""first_name"": ""New""}"
