city_id,city_name,state_id,tier
1,Mumbai,1,Tier 1
2,Pune,1,Tier 1
3,Nagpur,1,Tier 2
4,Nashik,1,Tier 2
5,New Delhi,2,Tier 1
6,Bengaluru,3,Tier 1
7,Mysuru,3,Tier 2
8,Mangaluru,3,Tier 2
9,Chennai,4,Tier 1
10,Coimbatore,4,Tier 2
11,Madurai,4,Tier 2
12,Ahmedabad,5,Tier 1
13,Surat,5,Tier 1
14,Vadodara,5,Tier 2
15,Rajkot,5,Tier 2
16,Kolkata,6,Tier 1
17,Howrah,6,Tier 2
18,Durgapur,6,Tier 3
19,Lucknow,7,Tier 1
20,Kanpur,7,Tier 2
21,Varanasi,7,Tier 2
22,Agra,7,Tier 2
23,Jaipur,8,Tier 1
24,Jodhpur,8,Tier 2
25,Udaipur,8,Tier 2
26,Bhopal,9,Tier 1
27,Indore,9,Tier 1
28,Gwalior,9,Tier 2
29,Thiruvananthapuram,10,Tier 2
30,Kochi,10,Tier 2
31,Kozhikode,10,Tier 2
32,Hyderabad,11,Tier 1
33,Warangal,11,Tier 3
34,Visakhapatnam,12,Tier 2
35,Vijayawada,12,Tier 2
36,Ludhiana,13,Tier 2
37,Amritsar,13,Tier 2
38,Chandigarh,14,Tier 1
39,Gurugram,14,Tier 1
40,Faridabad,14,Tier 2
41,Patna,15,Tier 2
42,Gaya,15,Tier 3
43,Bhubaneswar,16,Tier 2
44,Cuttack,16,Tier 3
45,Guwahati,17,Tier 2
46,Ranchi,18,Tier 2
47,Jamshedpur,18,Tier 2
48,Raipur,19,Tier 2
49,Dehradun,20,Tier 2
50,Shimla,21,Tier 3
51,Panaji,22,Tier 3
52,Agartala,23,Tier 3
53,Shillong,24,Tier 3
54,Imphal,25,Tier 3
55,Kohima,26,Tier 3
56,Itanagar,27,Tier 3
57,Aizawl,28,Tier 3
58,Gangtok,29,Tier 3
59,Srinagar,30,Tier 2
60,Leh,31,Tier 3
61,Thane,1,Tier 1
62,Noida,7,Tier 1
63,Ghaziabad,7,Tier 1
64,Navi Mumbai,1,Tier 1
65,Aurangabad,1,Tier 2
66,Solapur,1,Tier 3
67,Hubli,3,Tier 2
68,Belgaum,3,Tier 3
69,Salem,4,Tier 3
70,Tiruchirappalli,4,Tier 2
71,Bhavnagar,5,Tier 3
72,Jamnagar,5,Tier 3
73,Siliguri,6,Tier 3
74,Asansol,6,Tier 3
75,Prayagraj,7,Tier 2
76,Meerut,7,Tier 2
77,Kota,8,Tier 2
78,Ajmer,8,Tier 3
79,Jabalpur,9,Tier 2
80,Ujjain,9,Tier 3
81,Thrissur,10,Tier 3
82,Kollam,10,Tier 3
83,Nizamabad,11,Tier 3
84,Karimnagar,11,Tier 3
85,Guntur,12,Tier 3
86,Nellore,12,Tier 3
87,Jalandhar,13,Tier 2
88,Patiala,13,Tier 3
89,Ambala,14,Tier 3
90,Rohtak,14,Tier 3
91,Muzaffarpur,15,Tier 3
92,Bhagalpur,15,Tier 3
93,Rourkela,16,Tier 3
94,Sambalpur,16,Tier 3
95,Dibrugarh,17,Tier 3
96,Silchar,17,Tier 3
97,Dhanbad,18,Tier 2
98,Bokaro,18,Tier 3
99,Bilaspur,19,Tier 3
100,Haridwar,20,Tier 3
