designation_id,designation_name,grade,min_salary,max_salary
1,Chairman,Executive,5000000.00,10000000.00
2,Managing Director,Executive,4000000.00,8000000.00
3,Deputy Managing Director,Executive,3500000.00,7000000.00
4,Chief General Manager,CGM,3000000.00,5500000.00
5,General Manager,GM,2500000.00,4500000.00
6,Deputy General Manager,DGM,2000000.00,3500000.00
7,Assistant General Manager,AGM,1500000.00,2800000.00
8,Chief Manager,CM,1200000.00,2200000.00
9,Senior Manager,SM,1000000.00,1800000.00
10,Manager,MM,800000.00,1500000.00
11,Deputy Manager,DM,600000.00,1200000.00
12,Assistant Manager,AM,500000.00,1000000.00
13,Senior Associate,SA,400000.00,750000.00
14,Associate,ASO,300000.00,600000.00
15,Junior Associate,JA,250000.00,500000.00
16,Probationary Officer,PO,500000.00,900000.00
17,Clerk,CL,300000.00,600000.00
18,Sub Staff,SS,200000.00,400000.00
19,Technical Officer,TO,600000.00,1200000.00
20,Specialist Officer IT,SO-IT,700000.00,1400000.00
21,Specialist Officer Law,SO-LAW,700000.00,1400000.00
22,Specialist Officer HR,SO-HR,650000.00,1300000.00
23,Security Officer,SEC,400000.00,800000.00
24,Fire Officer,FIRE,400000.00,800000.00
25,Agriculture Field Officer,AFO,550000.00,1100000.00
