card_type_id,type_name,credit_limit_min,credit_limit_max,annual_fee,reward_rate
1,SBI SimplySAVE,25000.00,200000.00,499.00,1.00
2,SBI SimplyCLICK,50000.00,500000.00,499.00,1.25
3,SBI BPCL Octane,50000.00,300000.00,499.00,1.50
4,SBI IRCTC Platinum,25000.00,200000.00,500.00,1.00
5,SBI Cashback,50000.00,500000.00,999.00,5.00
6,SBI Elite,200000.00,1500000.00,4999.00,2.00
7,SBI Aurum,500000.00,2500000.00,9999.00,3.00
8,SBI Prime,100000.00,1000000.00,2999.00,1.50
9,SBI Pulse,50000.00,300000.00,1499.00,1.25
10,SBI YONO SBI,25000.00,150000.00,0.00,0.75
