loan_id,loan_number,customer_id,loan_type_id,branch_id,principal_amount,interest_rate,tenure_months,emi_amount,disbursement_date,maturity_date,outstanding_balance,status
1,LN0000000001,1,1,1,4500000.00,8.50,240,39152.00,2020-06-15,2040-06-15,3850000.00,Active
2,LN0000000002,3,2,5,850000.00,9.25,60,17682.00,2022-03-10,2027-03-10,425000.00,Active
3,LN0000000003,5,3,8,500000.00,11.50,48,13058.00,2023-08-20,2027-08-20,312500.00,Active
4,LN0000000004,7,1,30,6500000.00,8.40,300,52845.00,2018-11-05,2043-11-05,5720000.00,Active
5,LN0000000005,9,6,19,2500000.00,12.00,84,44643.00,2021-04-18,2028-04-18,1575000.00,Active
6,LN0000000006,11,4,23,1200000.00,8.15,120,14658.00,2019-07-01,2029-07-01,720000.00,Active
7,LN0000000007,13,1,29,8500000.00,8.35,360,64218.00,2015-02-28,2045-02-28,6800000.00,Active
8,LN0000000008,15,8,33,75000.00,14.00,36,2563.00,2024-01-15,2027-01-15,45000.00,Active
9,LN0000000009,17,2,35,1200000.00,9.50,72,21456.00,2022-09-12,2028-09-12,680000.00,Active
10,LN0000000010,19,3,37,350000.00,11.75,36,11548.00,2024-03-25,2027-03-25,245000.00,Active
11,LN0000000011,21,1,39,5200000.00,8.45,240,45012.00,2019-12-10,2039-12-10,4160000.00,Active
12,LN0000000012,23,9,41,3500000.00,9.50,180,36575.00,2020-08-05,2035-08-05,2800000.00,Active
13,LN0000000013,25,7,43,800000.00,7.00,60,15842.00,2023-01-20,2028-01-20,480000.00,Active
14,LN0000000014,27,3,45,600000.00,11.50,48,15670.00,2023-11-08,2027-11-08,412500.00,Active
15,LN0000000015,29,2,47,950000.00,9.25,60,19762.00,2022-06-30,2027-06-30,475000.00,Active
16,LN0000000016,31,1,49,7200000.00,8.55,300,58968.00,2017-04-22,2042-04-22,6120000.00,Active
17,LN0000000017,33,6,51,1800000.00,12.25,72,33054.00,2022-02-14,2028-02-14,1080000.00,Active
18,LN0000000018,35,4,53,2000000.00,8.20,144,22958.00,2020-05-18,2032-05-18,1400000.00,Active
19,LN0000000019,37,3,55,450000.00,11.50,36,14851.00,2024-09-01,2027-09-01,337500.00,Active
20,LN0000000020,39,1,57,3800000.00,8.60,180,37582.00,2021-10-25,2036-10-25,3040000.00,Active
21,LN0000000021,41,2,59,1100000.00,9.30,72,19625.00,2023-03-08,2029-03-08,715000.00,Active
22,LN0000000022,43,1,61,9500000.00,8.30,360,71245.00,2016-08-15,2046-08-15,7600000.00,Active
23,LN0000000023,45,9,63,4200000.00,9.55,180,44058.00,2019-11-30,2034-11-30,3360000.00,Active
24,LN0000000024,47,3,65,750000.00,11.75,48,19688.00,2023-07-12,2027-07-12,468750.00,Active
25,LN0000000025,49,6,67,3200000.00,12.00,96,50176.00,2021-01-05,2029-01-05,2080000.00,Active
26,LN0000000026,51,1,69,5800000.00,8.45,240,50206.00,2020-04-20,2040-04-20,4640000.00,Active
27,LN0000000027,53,2,71,1350000.00,9.40,72,24142.00,2022-08-28,2028-08-28,810000.00,Active
28,LN0000000028,55,7,73,1500000.00,7.00,84,21893.00,2021-06-15,2028-06-15,857143.00,Active
29,LN0000000029,57,3,75,400000.00,11.50,36,13201.00,2024-11-10,2027-11-10,311111.00,Active
30,LN0000000030,59,1,77,4200000.00,8.50,180,41328.00,2022-01-22,2037-01-22,3360000.00,Active
31,LN0000000031,61,1,79,7500000.00,8.25,360,56018.00,2014-05-30,2044-05-30,5625000.00,Active
32,LN0000000032,63,9,81,2800000.00,9.60,144,30968.00,2021-09-18,2033-09-18,2100000.00,Active
33,LN0000000033,65,2,83,980000.00,9.35,60,20425.00,2023-04-05,2028-04-05,588000.00,Active
34,LN0000000034,67,3,85,550000.00,11.50,48,14364.00,2024-02-28,2028-02-28,385000.00,Active
35,LN0000000035,69,6,87,4000000.00,11.80,120,56280.00,2020-07-10,2030-07-10,2666667.00,Active
36,LN0000000036,71,1,89,6800000.00,8.40,300,55228.00,2018-03-25,2043-03-25,5780000.00,Active
37,LN0000000037,73,4,91,950000.00,8.10,96,13015.00,2022-12-15,2030-12-15,593750.00,Active
38,LN0000000038,75,1,93,4500000.00,8.55,240,38925.00,2021-05-08,2041-05-08,3600000.00,Active
39,LN0000000039,77,2,96,1450000.00,9.20,72,25768.00,2023-10-20,2029-10-20,942500.00,Active
40,LN0000000040,79,3,98,620000.00,11.50,48,16191.00,2024-06-05,2028-06-05,449500.00,Active
41,LN0000000041,81,1,100,3200000.00,8.60,180,31649.00,2022-11-12,2037-11-12,2560000.00,Active
42,LN0000000042,83,8,102,85000.00,14.00,36,2905.00,2025-01-08,2028-01-08,70833.00,Active
43,LN0000000043,85,6,104,2200000.00,12.10,84,39482.00,2021-08-30,2028-08-30,1414286.00,Active
44,LN0000000044,87,1,106,5500000.00,8.45,240,47607.00,2019-02-18,2039-02-18,4400000.00,Active
45,LN0000000045,89,2,108,1600000.00,9.30,72,28536.00,2022-05-25,2028-05-25,1066667.00,Active
46,LN0000000046,91,3,110,480000.00,11.75,36,15870.00,2024-08-15,2027-08-15,360000.00,Active
47,LN0000000047,93,1,112,4000000.00,8.50,180,39358.00,2023-01-30,2038-01-30,3466667.00,Active
48,LN0000000048,95,9,114,2500000.00,9.50,144,27625.00,2021-04-08,2033-04-08,1875000.00,Active
49,LN0000000049,97,7,116,1100000.00,7.10,72,18795.00,2022-07-20,2028-07-20,733333.00,Active
50,LN0000000050,99,1,118,6200000.00,8.35,300,50168.00,2017-09-05,2042-09-05,5270000.00,Active
51,LN0000000051,2,3,4,300000.00,11.50,24,14032.00,2025-02-10,2027-02-10,262500.00,Active
52,LN0000000052,4,8,11,68000.00,14.00,36,2324.00,2025-03-15,2028-03-15,62333.00,Active
53,LN0000000053,6,3,14,420000.00,11.75,36,13879.00,2025-01-20,2028-01-20,385000.00,Active
54,LN0000000054,8,10,16,45000.00,15.00,18,2728.00,2025-04-05,2026-10-05,35000.00,Active
55,LN0000000055,10,3,21,280000.00,11.50,24,13097.00,2025-05-12,2027-05-12,256667.00,Active
56,LN0000000056,12,8,26,72000.00,14.00,36,2460.00,2025-06-08,2028-06-08,68000.00,Active
57,LN0000000057,14,3,31,380000.00,11.75,36,12557.00,2025-02-28,2028-02-28,355556.00,Active
58,LN0000000058,16,10,34,55000.00,15.00,18,3334.00,2025-07-01,2027-01-01,48889.00,Active
59,LN0000000059,18,3,36,220000.00,11.50,24,10290.00,2025-04-18,2027-04-18,211667.00,Active
60,LN0000000060,20,8,38,65000.00,14.00,36,2221.00,2025-05-25,2028-05-25,63056.00,Active
61,LN0000000061,22,14,40,500000.00,8.00,60,10138.00,2025-03-10,2030-03-10,491667.00,Active
62,LN0000000062,24,13,42,750000.00,9.75,84,12098.00,2024-09-22,2031-09-22,660714.00,Active
63,LN0000000063,26,14,44,350000.00,8.00,48,8545.00,2025-01-15,2029-01-15,335417.00,Active
64,LN0000000064,28,13,46,1200000.00,9.80,96,17664.00,2023-11-30,2031-11-30,975000.00,Active
65,LN0000000065,30,14,48,450000.00,8.00,60,9124.00,2025-06-20,2030-06-20,446250.00,Active
66,LN0000000066,32,10,50,38000.00,15.00,12,3439.00,2026-01-05,2027-01-05,25333.00,Active
67,LN0000000067,34,1,52,12000000.00,8.20,360,89568.00,2012-04-15,2042-04-15,8400000.00,Active
68,LN0000000068,36,3,54,520000.00,11.50,48,13580.00,2024-07-28,2028-07-28,390000.00,Active
69,LN0000000069,38,2,56,920000.00,9.40,60,19225.00,2023-10-12,2028-10-12,598000.00,Active
70,LN0000000070,40,3,58,340000.00,11.50,36,11222.00,2025-02-05,2028-02-05,321111.00,Active
71,LN0000000071,42,10,60,62000.00,15.00,18,3758.00,2026-03-18,2027-09-18,58556.00,Active
72,LN0000000072,44,3,62,480000.00,11.75,48,12603.00,2024-05-22,2028-05-22,370000.00,Active
73,LN0000000073,46,8,64,78000.00,14.00,36,2665.00,2025-08-10,2028-08-10,74917.00,Active
74,LN0000000074,48,3,66,260000.00,11.50,24,12162.00,2025-09-15,2027-09-15,260000.00,Active
75,LN0000000075,50,10,68,42000.00,15.00,12,3801.00,2026-04-01,2027-04-01,38500.00,Active
76,LN0000000076,52,5,70,250000.00,7.50,24,11215.00,2025-05-08,2027-05-08,239583.00,Active
77,LN0000000077,54,5,72,180000.00,7.50,18,10508.00,2025-10-20,2027-04-20,175000.00,Active
78,LN0000000078,56,5,74,320000.00,7.50,30,11627.00,2025-03-28,2027-09-28,309333.00,Active
79,LN0000000079,58,5,76,200000.00,7.50,24,8972.00,2025-07-12,2027-07-12,195833.00,Active
80,LN0000000080,60,5,78,280000.00,7.50,30,10173.00,2025-04-25,2027-10-25,274667.00,Active
81,LN0000000081,62,3,80,360000.00,11.50,36,11882.00,2025-06-15,2028-06-15,350000.00,Active
82,LN0000000082,64,10,82,48000.00,15.00,12,4344.00,2026-02-10,2027-02-10,44000.00,Active
83,LN0000000083,66,1,84,8200000.00,8.30,360,61428.00,2013-08-22,2043-08-22,6150000.00,Active
84,LN0000000084,68,8,86,58000.00,14.00,36,1982.00,2025-11-05,2028-11-05,56611.00,Active
85,LN0000000085,70,3,88,290000.00,11.50,24,13565.00,2026-01-20,2028-01-20,289583.00,Active
86,LN0000000086,72,2,90,880000.00,9.35,60,18343.00,2024-02-28,2029-02-28,616000.00,Active
87,LN0000000087,74,3,92,410000.00,11.50,36,13531.00,2025-08-08,2028-08-08,398611.00,Active
88,LN0000000088,76,3,95,320000.00,11.75,36,10577.00,2025-09-22,2028-09-22,315556.00,Active
89,LN0000000089,78,8,97,82000.00,14.00,36,2802.00,2025-10-15,2028-10-15,80056.00,Active
90,LN0000000090,80,3,99,240000.00,11.50,24,11225.00,2025-11-28,2027-11-28,240000.00,Active
91,LN0000000091,82,10,101,52000.00,15.00,18,3153.00,2026-05-10,2027-11-10,52000.00,Active
92,LN0000000092,84,1,103,9800000.00,8.25,360,73168.00,2011-10-05,2041-10-05,6860000.00,Active
93,LN0000000093,86,3,105,380000.00,11.50,36,12538.00,2025-12-18,2028-12-18,380000.00,Active
