payment_id,loan_id,payment_date,amount_paid,principal_component,interest_component,penalty,payment_mode,receipt_number
1,1,2026-07-05,39152.00,11902.00,27250.00,0.00,Auto Debit,RCP2026070500001
2,2,2026-07-05,17682.00,14410.00,3272.00,0.00,Auto Debit,RCP2026070500002
3,3,2026-07-05,13058.00,10063.00,2995.00,0.00,Auto Debit,RCP2026070500003
4,4,2026-07-05,52845.00,12808.00,40037.00,0.00,Auto Debit,RCP2026070500004
5,5,2026-07-05,44643.00,28893.00,15750.00,0.00,Auto Debit,RCP2026070500005
6,6,2026-07-05,14658.00,9768.00,4890.00,0.00,Auto Debit,RCP2026070500006
7,7,2026-07-05,64218.00,16916.00,47302.00,0.00,Auto Debit,RCP2026070500007
8,8,2026-07-05,2563.00,2038.00,525.00,0.00,Auto Debit,RCP2026070500008
9,9,2026-07-05,21456.00,16073.00,5383.00,0.00,Auto Debit,RCP2026070500009
10,10,2026-07-05,11548.00,9148.00,2400.00,0.00,Auto Debit,RCP2026070500010
11,11,2026-07-05,45012.00,15716.00,29296.00,0.00,Auto Debit,RCP2026070500011
12,12,2026-07-05,36575.00,14408.00,22167.00,0.00,Auto Debit,RCP2026070500012
13,13,2026-07-05,15842.00,13042.00,2800.00,0.00,Auto Debit,RCP2026070500013
14,14,2026-07-05,15670.00,11717.00,3953.00,0.00,Auto Debit,RCP2026070500014
15,15,2026-07-05,19762.00,16101.00,3661.00,0.00,Auto Debit,RCP2026070500015
16,16,2026-07-05,58968.00,15360.00,43608.00,0.00,Auto Debit,RCP2026070500016
17,17,2026-07-05,33054.00,22026.00,11028.00,0.00,Auto Debit,RCP2026070500017
18,18,2026-07-05,22958.00,13388.00,9570.00,0.00,Auto Debit,RCP2026070500018
19,19,2026-07-05,14851.00,11616.00,3235.00,0.00,Auto Debit,RCP2026070500019
20,20,2026-07-05,37582.00,15800.00,21782.00,0.00,Auto Debit,RCP2026070500020
21,21,2026-07-05,19625.00,14081.00,5544.00,0.00,Auto Debit,RCP2026070500021
22,22,2026-07-05,71245.00,18694.00,52551.00,0.00,Auto Debit,RCP2026070500022
23,23,2026-07-05,44058.00,17356.00,26702.00,0.00,Auto Debit,RCP2026070500023
24,24,2026-07-05,19688.00,15095.00,4593.00,0.00,Auto Debit,RCP2026070500024
25,25,2026-07-05,50176.00,30096.00,20080.00,0.00,Auto Debit,RCP2026070500025
26,26,2026-07-05,50206.00,17518.00,32688.00,0.00,Auto Debit,RCP2026070500026
27,27,2026-07-05,24142.00,17792.00,6350.00,0.00,Auto Debit,RCP2026070500027
28,28,2026-07-05,21893.00,16893.00,5000.00,0.00,Auto Debit,RCP2026070500028
29,29,2026-07-05,13201.00,10362.00,2839.00,0.00,Auto Debit,RCP2026070500029
30,30,2026-07-05,41328.00,17548.00,23780.00,0.00,Auto Debit,RCP2026070500030
31,1,2026-06-05,39152.00,11818.00,27334.00,0.00,Auto Debit,RCP2026060500001
32,2,2026-06-05,17682.00,14299.00,3383.00,0.00,Auto Debit,RCP2026060500002
33,3,2026-06-05,13058.00,9967.00,3091.00,0.00,Auto Debit,RCP2026060500003
34,4,2026-06-05,52845.00,12718.00,40127.00,0.00,Auto Debit,RCP2026060500004
35,5,2026-06-05,44643.00,28604.00,16039.00,0.00,Auto Debit,RCP2026060500005
36,6,2026-06-05,14658.00,9702.00,4956.00,0.00,Auto Debit,RCP2026060500006
37,7,2026-06-05,64218.00,16798.00,47420.00,0.00,Auto Debit,RCP2026060500007
38,8,2026-06-05,2563.00,2015.00,548.00,0.00,Auto Debit,RCP2026060500008
39,9,2026-06-05,21456.00,15946.00,5510.00,0.00,Auto Debit,RCP2026060500009
40,10,2026-06-05,11548.00,9059.00,2489.00,0.00,Auto Debit,RCP2026060500010
41,1,2026-05-05,39152.00,11734.00,27418.00,0.00,Auto Debit,RCP2026050500001
42,2,2026-05-05,17682.00,14188.00,3494.00,0.00,Auto Debit,RCP2026050500002
43,3,2026-05-05,13058.00,9871.00,3187.00,0.00,Auto Debit,RCP2026050500003
44,4,2026-05-05,52845.00,12629.00,40216.00,0.00,Auto Debit,RCP2026050500004
45,5,2026-05-05,44643.00,28318.00,16325.00,0.00,Auto Debit,RCP2026050500005
46,6,2026-05-05,14658.00,9636.00,5022.00,0.00,Auto Debit,RCP2026050500006
47,7,2026-05-05,64218.00,16681.00,47537.00,0.00,Auto Debit,RCP2026050500007
48,8,2026-05-05,2563.00,1992.00,571.00,0.00,Auto Debit,RCP2026050500008
49,9,2026-05-05,21456.00,15820.00,5636.00,0.00,Auto Debit,RCP2026050500009
50,10,2026-05-05,11548.00,8970.00,2578.00,0.00,Auto Debit,RCP2026050500010
51,31,2026-07-05,56018.00,17338.00,38680.00,0.00,Auto Debit,RCP2026070500031
52,32,2026-07-05,30968.00,14168.00,16800.00,0.00,Auto Debit,RCP2026070500032
53,33,2026-07-05,20425.00,15843.00,4582.00,0.00,Auto Debit,RCP2026070500033
54,34,2026-07-05,14364.00,10673.00,3691.00,0.00,Auto Debit,RCP2026070500034
55,35,2026-07-05,56280.00,30047.00,26233.00,0.00,Auto Debit,RCP2026070500035
56,36,2026-07-05,55228.00,14748.00,40480.00,0.00,Auto Debit,RCP2026070500036
57,37,2026-07-05,13015.00,9007.00,4008.00,0.00,Auto Debit,RCP2026070500037
58,38,2026-07-05,38925.00,13260.00,25665.00,0.00,Auto Debit,RCP2026070500038
59,39,2026-07-05,25768.00,18527.00,7241.00,0.00,Auto Debit,RCP2026070500039
60,40,2026-07-05,16191.00,11882.00,4309.00,0.00,Auto Debit,RCP2026070500040
61,41,2026-07-05,31649.00,13298.00,18351.00,0.00,Auto Debit,RCP2026070500041
62,42,2026-07-05,2905.00,2079.00,826.00,0.00,Auto Debit,RCP2026070500042
63,43,2026-07-05,39482.00,25222.00,14260.00,0.00,Auto Debit,RCP2026070500043
64,44,2026-07-05,47607.00,16617.00,30990.00,0.00,Auto Debit,RCP2026070500044
65,45,2026-07-05,28536.00,20258.00,8278.00,0.00,Auto Debit,RCP2026070500045
66,46,2026-07-05,15870.00,12345.00,3525.00,0.00,Auto Debit,RCP2026070500046
67,47,2026-07-05,39358.00,14858.00,24500.00,0.00,Auto Debit,RCP2026070500047
68,48,2026-07-05,27625.00,12781.00,14844.00,0.00,Auto Debit,RCP2026070500048
69,49,2026-07-05,18795.00,14455.00,4340.00,0.00,Auto Debit,RCP2026070500049
70,50,2026-07-05,50168.00,13495.00,36673.00,0.00,Auto Debit,RCP2026070500050
