locker_id,locker_number,branch_id,size,annual_rent,customer_id,allotment_date,status
1,LKR001-S001,1,Small,2500.00,1,2021-05-15,Allotted
2,LKR001-S002,1,Small,2500.00,3,2020-08-22,Allotted
3,LKR001-M001,1,Medium,4500.00,5,2022-03-10,Allotted
4,LKR001-M002,1,Medium,4500.00,7,2019-11-28,Allotted
5,LKR001-L001,1,Large,8000.00,9,2018-06-15,Allotted
6,LKR001-L002,1,Large,8000.00,NULL,NULL,Available
7,LKR005-S001,5,Small,2500.00,11,2021-10-05,Allotted
8,LKR005-S002,5,Small,2500.00,13,2017-04-20,Allotted
9,LKR005-M001,5,Medium,4500.00,NULL,NULL,Available
10,LKR005-L001,5,Large,8000.00,15,2023-01-12,Allotted
11,LKR008-S001,8,Small,2500.00,17,2020-07-08,Allotted
12,LKR008-S002,8,Small,2500.00,19,2022-09-18,Allotted
13,LKR008-M001,8,Medium,4500.00,21,2018-12-25,Allotted
14,LKR008-L001,8,Large,8000.00,23,2021-03-30,Allotted
15,LKR011-S001,11,Small,2500.00,25,2019-08-15,Allotted
16,LKR011-M001,11,Medium,4500.00,27,2023-05-22,Allotted
17,LKR011-L001,11,Large,8000.00,29,2020-11-10,Allotted
18,LKR014-S001,14,Small,2500.00,31,2022-02-28,Allotted
19,LKR014-M001,14,Medium,4500.00,NULL,NULL,Available
20,LKR014-L001,14,Large,8000.00,33,2019-06-18,Allotted
21,LKR019-S001,19,Small,2500.00,35,2021-09-12,Allotted
22,LKR019-S002,19,Small,2500.00,37,2020-04-25,Allotted
23,LKR019-M001,19,Medium,4500.00,39,2023-07-08,Allotted
24,LKR019-L001,19,Large,8000.00,41,2018-10-30,Allotted
25,LKR023-S001,23,Small,2500.00,43,2022-01-15,Allotted
26,LKR023-M001,23,Medium,4500.00,45,2019-05-28,Allotted
27,LKR023-L001,23,Large,8000.00,NULL,NULL,Available
28,LKR026-S001,26,Small,2500.00,47,2021-08-22,Allotted
29,LKR026-M001,26,Medium,4500.00,49,2020-12-10,Allotted
30,LKR026-L001,26,Large,8000.00,51,2023-03-18,Allotted
