state_id,state_name,state_code,region_id
1,Maharashtra,MH,4
2,Delhi,DL,1
3,Karnataka,KA,2
4,Tamil Nadu,TN,2
5,Gujarat,GJ,4
6,West Bengal,WB,3
7,Uttar Pradesh,UP,1
8,Rajasthan,RJ,1
9,Madhya Pradesh,MP,5
10,Kerala,KL,2
11,Telangana,TS,2
12,Andhra Pradesh,AP,2
13,Punjab,PB,1
14,Haryana,HR,1
15,Bihar,BR,3
16,Odisha,OR,3
17,Assam,AS,6
18,Jharkhand,JH,3
19,Chhattisgarh,CG,5
20,Uttarakhand,UK,1
21,Himachal Pradesh,HP,1
22,Goa,GA,4
23,Tripura,TR,6
24,Meghalaya,ML,6
25,Manipur,MN,6
26,Nagaland,NL,6
27,Arunachal Pradesh,AR,6
28,Mizoram,MZ,6
29,Sikkim,SK,6
30,Jammu and Kashmir,JK,1
31,Ladakh,LA,1
32,Puducherry,PY,2
33,Chandigarh,CH,1
34,Andaman and Nicobar,AN,3
35,Dadra Nagar Haveli,DN,4
36,Lakshadweep,LD,2
